#Time since start in ms ,GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),Heading direction (°)
3097,2.07,2.2,5.68,34.4
3118,2.07,2.2,5.68,34.57
3137,2.07,2.2,5.68,34.57
3158,4.39,2.56,10.99,34.24
3177,4.39,2.56,10.99,34.24
3197,4.39,2.56,10.99,34.24
3217,5.86,-4.09,10.56,33.09
3238,5.86,-4.09,10.56,33.09
3258,5.86,-4.09,10.56,33.09
3277,5.25,-0.12,21.55,31.76
3297,5.25,-0.12,21.55,31.76
3318,5.25,-0.12,21.55,31.76
3337,5.25,-0.12,21.55,31.76
3358,-3.97,1.53,11.17,31.76
3377,-3.97,1.53,11.17,28.95
3397,-3.97,1.53,11.17,28.95
3418,-2.93,-5.31,2.99,28.95
3438,-2.93,-5.31,2.99,31.87
3457,-2.93,-5.31,2.99,31.87
3477,-10.07,-0.12,1.83,31.87
3497,-10.07,-0.12,1.83,32.98
3517,-10.07,-0.12,1.83,32.98
3538,-10.07,-0.12,1.83,32.98
3557,3.42,6.47,-2.68,32.98
3577,3.42,6.47,-2.68,32.98
3598,3.42,6.47,-2.68,29.62
3617,16.48,7.75,-3.11,29.62
3637,16.48,7.75,-3.11,26.65
3657,16.48,7.75,-3.11,26.65
3677,8.85,-1.71,-10.07,26.65
3698,8.85,-1.71,-10.07,29.52
3718,8.85,-1.71,-10.07,29.52
3738,8.85,-1.71,-10.07,29.52
3757,9.58,5.61,-11.11,29.31
3778,9.58,5.61,-11.11,29.31
3798,9.58,5.61,-11.11,29.31
3819,8.73,8.67,2.5,29.31
3838,8.73,8.67,2.5,29.31
3858,8.73,8.67,2.5,31.13
3879,-7.02,2.32,-0.79,31.13
3898,-7.02,2.32,-0.79,31.13
3918,-7.02,2.32,-0.79,29.08
3937,-7.02,2.32,-0.79,29.08
3958,-10.8,-1.46,-1.16,29.08
3978,-10.8,-1.46,-1.16,29.08
3997,-10.8,-1.46,-1.16,29.08
4017,-4.46,4.15,-4.76,32.47
4037,-4.46,4.15,-4.76,32.47
4057,-4.46,4.15,-4.76,32.47
4077,5.13,5.31,-5.8,32.47
4098,5.13,5.31,-5.8,32.47
4117,5.13,5.31,-5.8,32.47
4137,5.13,5.31,-5.8,31.21
4157,1.1,3.17,2.69,31.21
4177,1.1,3.17,2.69,29.25
4198,1.1,3.17,2.69,29.25
4218,10.07,-1.04,8.73,29.25
4237,10.07,-1.04,8.73,29.25
4257,10.07,-1.04,8.73,29.25
4279,-14.28,-5.19,15.01,26.21
4297,-14.28,-5.19,15.01,26.21
4317,-14.28,-5.19,15.01,26.21
4338,-14.28,-5.19,15.01,26.21
4357,10.01,-0.12,-1.71,26.21
4377,10.01,-0.12,-1.71,26.21
4398,10.01,-0.12,-1.71,23.93
4425,10.01,-0.12,-1.71,23.93
4438,10.01,-0.12,-1.71,23.93
4465,10.01,-0.12,-1.71,23.93
4480,-5.68,5.13,3.3,27.26
4532,-5.68,5.13,3.3,27.26
4533,-5.68,5.13,3.3,27.26
4539,-5.68,5.13,3.3,27.26
4557,8,-1.53,-1.59,26.54
4577,8,-1.53,-1.59,26.54
4597,8,-1.53,-1.59,26.54
4617,2.56,-2.56,-5.67,26.54
4637,2.56,-2.56,-5.67,26.54
4658,2.56,-2.56,-5.67,29.07
4677,2.56,-2.56,-5.67,29.07
4697,15.56,2.26,-12.21,29.07
4718,15.56,2.26,-12.21,24.7
4737,15.56,2.26,-12.21,24.7
4758,15.56,2.26,-12.21,24.7
4778,-6.16,5.74,-2.44,25.32
4797,-6.16,5.74,-2.44,25.32
4817,-6.16,5.74,-2.44,25.32
4837,4.27,-3.66,-16.05,24.05
4858,4.27,-3.66,-16.05,24.05
4878,4.27,-3.66,-16.05,24.05
4897,-8.18,-1.04,-5.43,24.05
4921,-8.18,-1.04,-5.43,24.05
4937,-8.18,-1.04,-5.43,24
4959,-10.92,-0.31,3.54,24
4977,-10.92,-0.31,3.54,26.17
4998,-10.92,-0.31,3.54,26.17
5018,-0.61,2.62,-1.34,26.17
5037,-0.61,2.62,-1.34,25.44
5057,-0.61,2.62,-1.34,25.44
5077,-0.61,2.62,-1.34,25.44
5098,1.16,1.34,7.39,25.96
5117,1.16,1.34,7.39,25.96
5137,1.16,1.34,7.39,25.96
5157,-1.59,-3.66,6.9,25.96
5181,-1.59,-3.66,6.9,25.96
5199,-1.59,-3.66,6.9,23.18
5217,15.93,-1.28,3.54,23.18
5237,15.93,-1.28,3.54,23.18
5257,15.93,-1.28,3.54,24.26
5277,15.93,-1.28,3.54,24.26
5298,15.93,-1.28,3.54,24.26
5317,15.93,-1.28,3.54,24.26
5337,15.93,-1.28,3.54,24.26
5357,15.93,-1.28,3.54,24.26
5377,15.93,-1.28,3.54,24.26
5397,15.93,-1.28,3.54,24.26
5417,15.93,-1.28,3.54,24.26
5437,15.93,-1.28,3.54,24.26
5458,15.93,-1.28,3.54,24.26
5478,15.93,-1.28,3.54,24.26
5497,15.93,-1.28,3.54,24.26
5517,15.93,-1.28,3.54,24.26
5537,15.93,-1.28,3.54,24.26
5557,15.93,-1.28,3.54,24.26
5577,15.93,-1.28,3.54,24.26
5600,-0.67,-7.2,10.5,27.25
5617,-0.67,-7.2,10.5,27.25
5639,7.02,1.04,-7.75,17.88
5657,7.02,1.04,-7.75,17.88
5678,7.02,1.04,-7.75,17.88
5699,12.39,-3.42,-17.45,17.88
5717,12.39,-3.42,-17.45,17.88
5737,12.39,-3.42,-17.45,21.67
5757,12.39,-3.42,-17.45,21.67
5777,12.33,12.39,-7.45,22.97
5797,12.33,12.39,-7.45,22.97
5817,12.33,12.39,-7.45,22.97
5837,12.33,12.39,-7.45,22.97
5857,-8.48,-4.15,-5.86,23.83
5878,-8.48,-4.15,-5.86,23.83
5897,2.93,-9.09,-13.91,25.35
5917,2.93,-9.09,-13.91,25.35
5940,2.93,-9.09,-13.91,25.35
